2    1.       p      2.    15.    0.     0.     0.     0.     1.     0.     0.     0.     0.     -0.01436633331764756   0.     -0.99989679890827   0.3480359176866664   0.
3    1.       p      3.    15.    0.     0.     0.     0.     0.     1.     0.     0.     0.     -0.01436633331764756   0.     -0.99989679890827   0.3480359176866664   0.
4    1.       p      4.    16.    0.     0.     0.     1.     0.     0.     0.     0.     0.     -0.01436633331764756   0.     -0.99989679890827   0.3480359176866664   0.
5    1.       p      5.    16.    0.     0.     0.     0.     1.     0.     0.     0.     0.     -0.01436633331764756   0.     -0.99989679890827   0.3480359176866664   0.
6    1.       p      6.    16.    0.     0.     0.     0.     0.     1.     0.     0.     0.     -0.01436633331764756   0.     -0.99989679890827   0.3480359176866664   0.
7    1.       p      7.    17.    0.     0.     0.     1.     0.     0.     0.     0.     0.     -0.01436633331764756   0.     -0.99989679890827   0.3480359176866664   0.
8    1.       p      8.    17.    0.     0.     0.     0.     1.     0.     0.     0.     0.     -0.01436633331764756   0.     -0.99989679890827   0.3480359176866664   0.
9    1.       p      9.    17.    0.     0.     0.     0.     0.     1.     0.     0.     0.     -0.01436633331764756   0.     -0.99989679890827   0.3480359176866664   0.
10   1.       p      10.   18.    0.     0.     0.     1.     0.     0.     0.     0.     0.     -0.01436633331764756   0.     -0.99989679890827   0.3480359176866664   0.
11   1.       p      11.   18.    0.     0.     0.     0.     1.     0.     0.     0.     0.     -0.01436633331764756   0.     -0.99989679890827   0.3480359176866664   0.
12   1.       p      12.   18.    0.     0.     0.     0.     0.     1.     0.     0.     0.     -0.01436633331764756   0.     -0.99989679890827   0.3480359176866664   0.;

param spat_ag := [*]
1     0.
2     0.
3     0.
4     0.
5     0.
6   9.81;
#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#* Robot and Robot Constraints!

#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#* Spot
param n_lo := 20.;
param n_td := 40.;
param mu := 1.;
param x_0 := [*]
1       0.
2       0.
3       0.
4       0.
5       0.
6       0.
7       0.
8       0.
9       0.
10      0.
11     0.9
12     0.9
13     0.9
14     0.9
15   -1.52
16   -1.52
17   -1.52
18   -1.52
19      0.
20      0.
21      0.
22      0.
23      0.
24      0.
25      0.
26      0.
27      0.
28      0.
29      0.
30      0.
31      0.
32      0.
33      0.
34      0.
35      0.
36      0.;
param x_f := [*]
1                   0.
2                   0.
3                   0.
4                   0.
5                   0.
6    2.094395102393195
7                   0.
8                   0.
9                   0.
10                  0.
11                 0.9
12                 0.9
13                 0.9
14                 0.9
15               -1.52
16               -1.52
17               -1.52
18               -1.52
19                  0.
20                  0.
21                  0.
22                  0.
23                  0.
24                  0.
25                  0.
26                  0.
27                  0.
28                  0.
29                  0.
30                  0.
31                  0.
32                  0.
33                  0.
34                  0.
35                  0.
36                  0.;
param h_min := 0.02;
param h_max := 0.1;
param a_lim := [*]
1    100.
2    100.
3    100.
4    100.
5    100.
6    100.
7    100.
8    100.
9    100.
10   100.
11   100.
12   100.
13   100.
14   100.
15   100.
16   100.
17   100.
18   100.;
param tau_lim := [*]
1       0.
2       0.
3       0.
4       0.
5       0.
6       0.
7    1000.
8    1000.
9    1000.
10   1000.
11   1000.
12   1000.
13   1000.
14   1000.
15   1000.
16   1000.
17   1000.
18   1000.;
param x_min := [*]
1                   -10.
2                   -10.
3                   -10.
4     -6.283185307179586
5     -6.283185307179586
6     -6.283185307179586
7    -0.7853981599999999
8    -0.7853981599999999
9    -0.7853981599999999
10   -0.7853981599999999
11           -0.89884456
12           -0.89884456
13           -0.89884456
14           -0.89884456
15               -2.7929
16               -2.7929
17               -2.7929
18               -2.7929
19                 -100.
20                 -100.
21                 -100.
22                 -100.
23                 -100.
24                 -100.
25                 -100.
26                 -100.
27                 -100.
28                 -100.
29                 -100.
30                 -100.
31                 -100.
32                 -100.
33                 -100.
34                 -100.
35                 -100.
36                 -100.;
param x_max := [*]
1                   10.
2                   10.
3                   10.
4     6.283185307179586
5     6.283185307179586
6     6.283185307179586
7    0.7853981599999999
8    0.7853981599999999
9    0.7853981599999999
10   0.7853981599999999
11           2.29510797
12           2.29510797
13           2.29510797
14           2.29510797
15            -0.254801
16            -0.267153
17            -0.247563
18            -0.257725
19                 100.
20                 100.
21                 100.
22                 100.
23                 100.
24                 100.
25                 100.
26                 100.
27                 100.
28                 100.
29                 100.
30                 100.
31                 100.
32                 100.
33                 100.
34                 100.
35                 100.
36                 100.;
param f_min := [*]
1    -10000.
2    -10000.
3       -10.
4    -10000.
5    -10000.
6       -10.
7    -10000.
8    -10000.
9       -10.
10   -10000.
11   -10000.
12      -10.;
param f_max := [*]
1    10000.
2    10000.
3    10000.
4    10000.
5    10000.
6    10000.
7    10000.
8    10000.
9    10000.
10   10000.
11   10000.
12   10000.;
#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#*#* Spot!
